Date,Time,A4(V),GSpd(kmh),VFAS(V),Curr(A),Alt(m),RxBt(V),RSSI(dB),GPS,VSpd(m/s),Hdg(@),0430,Tmp1(@C),Tmp2(@C),DIST(m),GPSSpd(kmh),RxBt(V),Fuel(%),PTCH,0440,Tmp2(@C),GAlt(m),Fuel(%),Hdg(@),0420,VFAS(V),Fuel(%),GPS,RxBt(V),Tmp1(@C),VFAS(V),RxBt(V),Hdg(@),Alt(m),GPS,GPS,GPSpd(kts),VFAS(V),Alt(m),GPS,A4(V),Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SF,SH,LSW,TxBat(V)
2020-09-19,14:19:20.770,4.08,0.0,16.33,0.3,0.9,5.0,100,50.022066 20.072121,0.0,40.40,200,15,1006,0,1.0,5.0,3,0,0,0,196.5,9,0.70,0,16.34,0,,5.0,0,16.34,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.35,0.0,,4.09,-7,-9,-1024,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:19:21.700,4.08,0.0,16.33,0.3,0.9,5.0,100,50.022068 20.072123,0.0,40.40,18,15,1006,0,0.7,5.0,3,0,7,0,196.0,9,0.70,0,16.34,0,,5.0,0,16.34,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.35,0.0,,4.09,-7,-9,-1024,5,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:19:22.710,4.08,0.0,16.34,0.3,0.9,5.0,100,50.022070 20.072126,0.0,45.30,20,15,1006,0,0.4,5.0,3,0,-2,0,196.4,9,0.70,0,16.34,0,,5.0,0,16.34,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.35,0.0,,4.09,-8,-11,-1024,5,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:08.320,3.89,0.0,15.58,5.7,77.1,5.0,86,50.023783 20.072618,2.4,337.00,-64,15,1207,0,54.6,5.0,3,-90,-102,0,275.8,63,0.70,0,15.50,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-7,-15,-17,5,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:09.320,3.89,0.0,15.58,5.7,79.2,5.0,86,50.023908 20.072585,2.4,337.40,-80,15,1608,0,54.6,5.0,3,-90,52,0,277.1,64,0.70,0,15.50,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-7,-116,-17,276,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:10.320,3.89,0.0,15.58,5.7,80.3,5.0,86,50.024070 20.072478,1.8,342.20,-61,15,1608,0,54.6,5.0,3,-90,156,0,277.1,64,0.70,0,15.50,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-7,-11,-17,5,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:11.320,3.90,0.0,15.62,5.6,83.4,5.0,86,50.024176 20.072440,1.2,342.20,-45,15,1608,0,51.3,5.0,3,-90,0,0,281.3,67,0.70,0,15.50,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-5,-9,-17,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:12.360,3.89,0.0,15.59,5.6,85.5,5.0,86,50.024326 20.072386,0.8,348.10,-24,15,1607,0,51.9,5.0,3,-90,40,0,282.0,68,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-7,-11,-17,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:13.360,3.89,0.0,15.61,5.7,87.1,5.0,86,50.024378 20.072346,0.8,346.70,-38,15,1608,0,49.8,5.0,3,-90,40,0,283.6,71,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-7,-11,-17,5,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:14.360,3.90,0.0,15.60,5.6,87.1,5.0,84,50.024555 20.072335,1.4,349.40,-48,15,1507,0,48.7,5.0,3,-90,-5,0,284.9,72,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-5,-11,-17,5,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:15.370,3.89,0.0,15.60,5.6,91.1,5.0,84,50.024696 20.072300,1.6,353.40,-31,15,1507,0,47.8,5.0,3,-90,9,0,284.9,74,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-7,-11,-17,5,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:16.370,3.89,0.0,15.57,5.6,92.4,5.0,84,50.024823 20.072281,1.3,357.30,-36,15,1507,0,40.9,5.0,3,-90,-18,0,287.5,75,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-7,-11,-17,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:17.370,3.89,0.0,15.58,5.6,93.7,5.0,84,50.024915 20.072278,1.1,358.70,-31,15,1507,0,47.4,5.0,3,-90,-23,0,288.1,77,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-7,-11,-17,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:18.370,3.89,0.0,15.58,5.6,94.5,5.0,84,50.025003 20.072278,1.0,0.60,-43,15,1507,0,44.3,5.0,3,-90,31,0,288.2,77,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-5,-11,-17,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:19.380,3.89,0.0,15.59,5.6,96.4,5.0,84,50.025086 20.072295,1.1,1.70,-39,15,1507,0,44.2,5.0,3,-90,-13,0,288.5,80,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-5,-11,-17,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:20.380,3.89,0.0,15.57,5.6,97.4,5.0,82,50.025183 20.072321,1.4,9.90,-32,15,1507,0,47.3,5.0,3,-90,23,0,288.7,82,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-7,-11,-19,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:21.380,3.89,0.0,15.55,5.6,97.8,5.0,82,50.025278 20.072360,1.9,13.10,-43,15,1607,0,49.3,5.0,3,-90,-3,0,289.1,83,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,16.32,0.0,,4.09,-7,-9,-19,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:22.380,3.89,0.0,15.55,5.6,100.9,5.0,82,50.025475 20.072436,2.0,22.80,-55,15,1607,0,47.5,5.0,3,-90,9,0,289.1,84,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,15.59,0.0,,4.09,-7,-13,-19,-93,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:23.380,3.89,0.0,15.58,5.6,102.9,5.0,82,50.025551 20.072461,1.4,20.30,-33,15,1507,0,45.0,5.0,3,-90,-151,0,292.0,86,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,15.59,0.0,,4.09,-7,-228,-19,-158,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:24.380,3.90,0.0,15.62,4.9,104.4,5.0,82,50.025686 20.072538,2.8,14.60,-93,15,1507,0,46.8,5.0,3,-90,-89,0,293.3,87,0.70,0,15.61,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,15.59,0.0,,4.09,-7,-215,-105,-142,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:25.380,3.91,0.0,15.65,4.3,107.5,5.0,82,50.025823 20.072586,2.1,13.00,-61,15,1507,0,46.5,5.0,3,-90,-26,0,295.7,89,0.70,0,15.62,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,15.59,0.0,,4.09,-7,-93,-117,-157,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:26.380,3.91,0.0,15.65,4.4,108.7,5.0,82,50.025911 20.072618,1.3,15.30,-42,15,1809,0,41.6,5.0,3,-90,1,0,298.7,90,0.70,0,15.62,12,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,15.59,0.0,,4.09,-7,-194,-116,-365,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:27.380,3.91,0.0,15.66,4.4,109.9,5.0,82,50.025976 20.072668,0.8,15.30,-38,15,1809,0,42.5,5.0,3,-90,-185,0,299.2,91,0.70,0,15.62,91,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.071786,,0.0,15.59,0.0,,4.09,-7,-109,-117,-1,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:28.380,3.91,0.0,15.66,4.4,111.7,5.0,82,50.026113 20.072668,1.6,2.30,-40,15,1809,0,43.6,5.0,3,-90,-185,0,300.2,93,0.70,0,15.62,91,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.59,0.0,,4.09,-7,-131,-116,2,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:29.380,3.91,0.0,15.65,4.4,112.3,5.0,82,50.026158 20.072673,1.6,4.20,-55,15,1809,0,43.1,5.0,3,-90,-185,0,302.5,93,0.70,0,15.62,91,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.59,0.0,,4.09,-7,-314,-116,-377,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:30.380,3.91,0.0,15.65,4.5,113.6,5.0,82,50.026340 20.072675,1.5,354.80,-55,15,1809,0,43.6,5.0,3,-90,-237,0,303.6,95,0.70,0,15.62,91,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.59,0.0,,4.09,-7,-53,-116,2,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:31.380,3.91,0.0,15.65,4.4,115.0,5.0,80,50.026431 20.072653,1.1,343.80,-65,15,1810,0,43.6,5.0,3,-90,-39,0,303.6,96,0.70,0,15.62,91,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.59,0.0,,4.09,-7,-88,-116,-206,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:32.380,3.91,0.0,15.66,4.5,116.2,5.0,80,50.026525 20.072578,0.0,349.60,-51,15,1810,0,47.4,5.0,3,-90,-18,0,305.7,98,0.70,0,15.62,91,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.59,0.0,,4.09,-5,-72,-116,2,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:33.380,3.91,0.0,15.65,4.4,116.2,5.0,80,50.026718 20.072540,0.0,346.30,-59,15,1810,0,48.8,5.0,3,-90,16,0,307.4,99,0.70,0,15.62,91,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.59,0.0,,4.09,-7,-195,-116,322,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:34.380,3.91,0.0,15.66,4.4,117.4,5.0,80,50.026766 20.072501,0.4,346.30,-78,15,1811,0,48.2,5.0,3,-90,100,0,308.2,100,0.70,0,15.62,91,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.59,0.0,,4.09,-7,-184,-116,2,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:35.380,3.91,0.0,15.65,4.4,117.4,5.0,80,50.026950 20.072473,1.3,346.30,-78,15,1810,0,43.9,5.0,3,-90,-25,0,308.8,101,0.70,0,15.62,91,,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.59,0.0,,4.09,-7,-219,-117,2,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:36.380,3.91,0.0,15.66,4.4,120.0,5.0,80,50.027016 20.072463,1.3,354.00,-103,15,1810,0,43.9,5.0,3,-90,49,0,310.6,103,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.59,0.0,,4.09,-5,-186,-116,179,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:37.380,3.91,0.0,15.65,4.5,120.5,5.0,80,50.027141 20.072458,1.3,359.10,-101,15,1810,0,43.9,5.0,3,-90,41,0,310.6,104,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.59,0.0,,4.09,-7,-236,-117,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:38.380,3.91,0.0,15.63,4.5,121.1,5.0,80,50.027261 20.072473,0.8,8.20,-53,15,1810,0,39.4,5.0,3,-90,-73,0,313.3,105,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.65,0.0,,4.09,-5,-211,-116,280,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:39.380,3.91,0.0,15.63,4.5,122.8,5.0,80,50.027376 20.072493,1.8,10.10,-122,15,1810,0,39.2,5.0,3,-90,40,0,313.8,106,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.65,0.0,,4.09,-7,-177,-116,9,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:40.380,3.90,0.0,15.63,4.5,123.5,5.0,78,50.027426 20.072518,0.1,17.40,-122,15,1810,0,34.3,5.0,3,-90,196,0,315.8,107,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.65,0.0,,4.09,-7,-437,-116,-524,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:41.380,3.90,0.0,15.61,4.5,124.0,5.0,78,50.027488 20.072576,1.2,20.50,-119,15,1811,0,33.6,5.0,3,-90,-336,0,316.7,109,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.65,0.0,,4.09,-7,-262,-116,2,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:42.380,3.90,0.0,15.61,4.5,125.3,5.0,80,50.027558 20.072590,0.7,20.50,-88,15,1810,0,38.6,5.0,3,-90,-336,0,316.7,109,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.65,0.0,,4.09,-5,-141,-116,-266,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:43.380,3.91,0.0,15.64,4.5,125.3,5.0,80,50.027716 20.072578,0.3,358.30,-100,15,1810,0,40.7,5.0,3,-90,-15,0,319.1,111,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.52,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.65,0.0,,4.09,-7,-183,-116,-330,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:44.440,3.90,0.0,15.61,4.5,126.0,5.0,80,50.027840 20.072535,0.6,351.70,-99,15,1810,0,41.5,5.0,3,-90,-15,0,319.6,113,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072673,,23.8,15.65,0.0,,4.09,-7,-11,-116,-1,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:45.440,3.90,0.0,15.61,4.4,126.7,5.0,80,50.027903 20.072516,0.6,341.50,-70,15,1810,0,45.7,5.0,3,-90,-47,0,321.0,114,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-11,-116,2,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:46.460,3.91,0.0,15.62,4.4,126.4,5.0,80,50.027903 20.072443,-0.4,339.10,-56,15,1810,0,47.9,5.0,3,-90,-21,0,320.7,115,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-159,-116,-301,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:47.460,3.90,0.0,15.61,4.4,126.4,5.0,80,50.028081 20.072341,0.4,339.10,-84,15,1810,0,49.7,5.0,3,-90,-77,0,320.7,116,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-13,-116,2,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:48.490,3.90,0.0,15.63,4.4,126.8,5.0,80,50.028223 20.072341,0.2,331.70,-84,15,1810,0,52.2,5.0,3,-90,-16,0,321.2,118,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-11,-116,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:49.490,3.90,0.0,15.62,4.4,126.8,5.0,80,50.028365 20.072141,-0.4,332.30,-38,15,1809,0,53.6,5.0,3,-90,25,0,321.2,119,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-5,-11,-116,4,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:50.490,3.90,0.0,15.63,4.4,126.2,5.0,80,50.028365 20.072023,-0.4,331.20,-42,15,1809,0,54.2,5.0,3,-90,-25,0,320.7,120,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-9,-116,2,-1024,1024,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:51.490,3.90,0.0,15.61,4.3,126.1,5.0,80,50.028365 20.071938,0.0,329.10,-55,15,1809,0,57.2,5.0,3,-90,0,0,320.5,120,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-11,-116,4,-1024,280,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:52.490,3.90,0.0,15.61,4.3,126.1,5.0,80,50.028791 20.071836,0.6,333.80,-31,15,1809,0,57.6,5.0,3,-90,49,0,320.4,122,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-9,-116,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:53.490,3.90,0.0,15.60,4.3,126.7,5.0,78,50.028791 20.071836,1.1,332.80,-50,15,1809,0,57.9,5.0,3,-90,-29,0,321.5,124,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-11,-116,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:54.490,3.90,0.0,15.62,4.3,128.2,5.0,78,50.029045 20.071678,1.2,334.70,-48,15,1809,0,57.9,5.0,3,-90,59,1809,322.8,125,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-9,-116,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:55.490,3.90,0.0,15.61,4.4,129.0,5.0,78,50.029196 20.071571,1.1,333.40,-27,15,1811,0,54.5,5.0,3,-90,-25,1809,324.3,127,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-9,-116,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:56.490,3.91,0.0,15.62,4.4,129.3,5.0,78,50.029196 20.071538,0.4,340.50,-30,15,1810,0,54.5,5.0,3,-90,-32,1809,325.3,127,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,0.0,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-9,-116,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:57.510,3.91,0.0,15.62,4.3,130.1,5.0,78,50.029376 20.071398,1.6,340.50,-48,15,1811,0,54.9,5.0,3,-90,28,1809,326.7,129,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-11,-116,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:58.510,3.90,0.0,15.60,4.3,131.9,5.0,78,50.029526 20.071398,1.6,340.70,-47,15,1810,0,52.1,5.0,3,-90,28,1809,328.6,130,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-11,-116,-253,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:20:59.520,3.90,0.0,15.63,4.3,133.0,5.0,78,50.029625 20.071276,0.8,337.10,-41,15,1811,0,52.1,5.0,3,-90,-286,1809,328.6,131,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-195,-116,-276,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:00.520,3.90,0.0,15.60,4.3,133.0,5.0,78,50.029811 20.071170,2.3,328.40,-70,15,1811,0,52.0,5.0,3,-90,-156,1809,331.9,133,0.70,0,15.62,91,50.027058 20.071626,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-5,-195,-116,-236,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:01.520,3.90,0.0,15.59,4.4,137.2,5.0,78,50.029891 20.071170,2.1,320.90,-85,15,1811,0,50.1,5.0,3,-90,-118,1809,334.2,134,0.70,0,15.62,91,50.027058 20.071123,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-47,-116,307,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:02.520,3.89,0.0,15.58,4.4,139.5,5.0,78,50.029931 20.070926,1.7,326.70,-50,15,1811,0,51.4,5.0,3,-90,110,1809,337.1,135,0.70,0,15.62,91,50.027058 20.071123,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-11,-116,5,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:03.520,3.89,0.0,15.59,4.4,139.5,5.0,78,50.030078 20.070861,1.4,325.60,-44,15,1812,0,49.9,5.0,3,-90,46,1809,339.0,136,0.70,0,15.62,91,50.027058 20.071123,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-12,-116,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:04.520,3.90,0.0,15.63,4.4,143.1,5.0,78,50.030210 20.070823,2.0,330.60,-41,15,1812,0,49.9,5.0,3,-90,-49,1809,339.0,137,0.70,0,15.62,91,50.027058 20.071123,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-12,-210,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:05.520,3.91,0.0,15.68,3.4,145.3,5.0,78,50.030341 20.070680,2.0,335.50,-38,15,1812,0,47.6,5.0,3,-90,7,1809,343.4,139,0.70,0,15.62,91,50.027058 20.071123,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-11,-210,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:06.520,3.91,0.0,15.67,3.4,146.6,5.0,78,50.030341 20.070590,2.0,335.30,-48,15,1812,0,47.6,5.0,3,-90,11,1809,345.0,139,0.70,0,15.62,91,50.027058 20.071123,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-11,-210,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:07.520,3.92,0.0,15.66,3.4,147.5,5.0,78,50.030540 20.070515,0.8,344.20,-31,15,1812,0,45.5,5.0,3,-90,14,1809,345.0,140,0.70,0,15.62,91,50.027058 20.071123,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-5,-11,-210,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:08.520,3.91,0.0,15.66,3.3,148.2,5.0,78,50.030585 20.070483,0.4,344.20,-32,15,1812,0,45.9,5.0,3,-90,3,1809,346.9,141,0.70,0,15.66,91,50.027058 20.071123,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-5,-9,-210,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:09.520,3.91,0.0,15.67,3.3,148.7,5.0,78,50.030761 20.070446,0.2,345.60,-47,15,1812,0,44.5,5.0,3,-90,-57,1809,346.9,142,0.70,0,15.66,91,50.027058 20.071123,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-7,-12,-210,-42,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
2020-09-19,14:21:10.530,3.91,0.0,15.67,3.4,148.9,5.0,78,50.030893 20.070398,0.1,345.60,-27,15,1812,0,46.8,5.0,3,-90,-140,1809,347.9,143,0.70,0,15.66,91,50.030805 20.071123,5.0,0,15.63,5.0,0.50,129.6,41.379225 20.072493,,23.8,15.65,0.0,,4.09,-5,-12,-210,4,-1024,7,1,-1,1,-1,1,-1,0x0000000000000000,7.8
